case,cc3,country,year,systemic_crisis,exch_usd,domestic_debt_in_default,sovereign_external_debt_default,gdp_weighted_default,inflation_annual_cpi,independence,currency_crises,inflation_crises,banking_crisis,population,crime_rate,GDP(bd),edu,pop_m
1,DZA,Algeria,1975,0,4.125,0,0,0,12.09893382,1,0,0,no_crisis,16607707,5,,39.1,16.607707
1,DZA,Algeria,1976,0,4.359,0,0,0,17.17351914,1,0,0,no_crisis,17072723,7,,40.07,17.072723
1,DZA,Algeria,1977,0,4.035,0,0,0,11.45037883,1,0,0,no_crisis,17550759,2,,41.04,17.550759
1,DZA,Algeria,1978,0,3.8345,0,0,0,9.668492611,1,0,0,no_crisis,18042180,3,,42,18.04218
1,DZA,Algeria,1979,0,3.7555,0,0,0,14.60957788,1,0,0,no_crisis,18547361,5,,42.97,18.547361
1,DZA,Algeria,1980,0,3.9715,0,0,0,9.668,1,0,0,no_crisis,19221665,3,,43.94,19.221665
1,DZA,Algeria,1981,0,4.378,0,0,0,14.61,1,0,0,no_crisis,19792548,4,,44.91,19.792548
1,DZA,Algeria,1982,0,4.6355,0,0,0,6.593,1,0,0,no_crisis,20380387,2,,45.88,20.380387
1,DZA,Algeria,1983,0,4.9165,0,0,0,7.835,1,0,0,no_crisis,20985685,5,,46.85,20.985685
1,DZA,Algeria,1984,0,5.1227,0,0,0,6.31,1,0,0,no_crisis,21608959,6,,47.82,21.608959
1,DZA,Algeria,1985,0,4.7728,0,0,0,10.432,1,0,0,no_crisis,22431502,2,,49.6,22.431502
1,DZA,Algeria,1986,0,4.8235,0,0,0,14.007,1,0,0,no_crisis,23135851,2,,48.9,23.135851
1,DZA,Algeria,1987,0,4.9363,0,0,0,5.857,1,0,0,no_crisis,23862317,3,,49.6,23.862317
1,DZA,Algeria,1988,0,6.7308,0,0,0,5.938,1,1,0,no_crisis,24611594,3,,52.07,24.611594
1,DZA,Algeria,1989,0,8.0324,0,0,0,9.172,1,1,0,no_crisis,25384398,2,,53.57,25.384398
1,DZA,Algeria,1990,1,12.1908,0,0,0,9.272,1,1,0,crisis,25758869,6,,54,25.758869
1,DZA,Algeria,1991,1,21.3919,0,1,0.23,25.9,1,1,1,crisis,26480117,5,,54.68,26.480117
1,DZA,Algeria,1992,1,22.7814,0,1,0.23,31.7,1,0,1,crisis,27221561,2,,55,27.221561
1,DZA,Algeria,1993,0,24.123,0,1,0.23,20.5,1,0,1,no_crisis,27983764,5,,56.7,27.983764
1,DZA,Algeria,1994,0,42.8925,0,1,0.23,29,1,1,1,no_crisis,28767310,5,,58,28.76731
1,DZA,Algeria,1995,0,52.175,0,1,0.23,29.8,1,1,1,no_crisis,28757785,4,,59.75,28.757785
1,DZA,Algeria,1996,0,56.1859,0,1,0.23,18.7,1,0,0,no_crisis,29399084,4,,63.1,29.399084
1,DZA,Algeria,1997,0,58.4139,0,0,0,5.7,1,0,0,no_crisis,30054683,4,,64.8,30.054683
1,DZA,Algeria,1998,0,60.3531,0,0,0,4.95,1,0,0,no_crisis,30724903,2,,65.65,30.724903
1,DZA,Algeria,1999,0,69.3143,0,0,0,2.6,1,0,0,no_crisis,31410068,1,,66.5,31.410068
1,DZA,Algeria,2000,0,75.3428,0,0,0,0.3,1,0,0,no_crisis,31042235,2,54.79,68.2,31.042235
1,DZA,Algeria,2001,0,77.8196,0,0,0,4.2,1,0,0,no_crisis,31520285,1,54.74,69.05,31.520285
1,DZA,Algeria,2002,0,79.7234,0,0,0,1.43,1,0,0,no_crisis,32005698,3,56.76,69.9,32.005698
1,DZA,Algeria,2003,0,72.6128,0,0,0,4.259,1,0,0,no_crisis,32498586,6,67.86,71.6,32.498586
1,DZA,Algeria,2004,0,72.6137,0,0,0,3.972,1,0,0,no_crisis,32999064,2,85.32,72.85,32.999064
1,DZA,Algeria,2005,0,73.3799,0,0,0,1.382,1,0,0,no_crisis,33149724,4,103.2,74.1,33.149724
1,DZA,Algeria,2006,0,71.1582,0,0,0,2.315,1,0,0,no_crisis,33587300,5,117,72.6,33.5873
1,DZA,Algeria,2007,0,66.8299,0,0,0,3.674,1,0,0,no_crisis,34030653,1,135,73.85,34.030653
1,DZA,Algeria,2008,0,71.1826,0,0,0,4.855,1,0,0,no_crisis,34479857,2,171,75.1,34.479857
1,DZA,Algeria,2009,0,72.7309,0,0,0,5.743,1,0,0,no_crisis,34934991,5,137.2,73.3,34.934991
1,DZA,Algeria,2010,0,74.9437,0,0,0,3.913,1,0,0,no_crisis,35977455,2,161.2,75,35.977455
1,DZA,Algeria,2011,0,76.0563,0,0,0,4.522,1,0,0,no_crisis,36571083,2,200,73.05,36.571083
1,DZA,Algeria,2012,0,78.1025,0,0,0,8.916,1,0,0,no_crisis,37174506,5,209.1,71.1,37.174506
1,DZA,Algeria,2013,0,78.1487013,0,0,0,3.255,1,0,0,no_crisis,37787885,2,209.8,69.6,37.787885
1,DZA,Algeria,2014,0,87.9706983,0,0,0,2.917,1,0,0,no_crisis,39728025,7,213.8,72.85,39.728025
2,AGO,Angola,1975,0,2.75E-08,0,0,0,29.00043489,1,0,1,no_crisis,7024000,4,,38.5,7.024
2,AGO,Angola,1976,0,2.99E-08,1,0,0,80.69990445,1,0,1,no_crisis,7275459,4,,39,7.275459
2,AGO,Angola,1977,0,2.99E-08,0,0,0,69.00935079,1,0,1,no_crisis,7535921,5,,39.5,7.535921
2,AGO,Angola,1978,0,2.99E-08,0,0,0,48.46106867,1,0,1,no_crisis,7805707,8,,39.9,7.805707
2,AGO,Angola,1979,0,2.99E-08,0,0,0,101.3013176,1,0,1,no_crisis,8085151,1,,40.5,8.085151
2,AGO,Angola,1980,0,2.99E-08,0,0,0,46.70755462,1,0,1,no_crisis,8341289,1,,40.95,8.341289
2,AGO,Angola,1981,0,2.99E-08,0,0,0,62.85353803,1,0,1,no_crisis,8633234,7,,41.44,8.633234
2,AGO,Angola,1982,0,2.99E-08,0,0,0,61.44702407,1,0,1,no_crisis,8935397,3,,41.93,8.935397
2,AGO,Angola,1983,0,2.99E-08,0,0,0,60.04051011,1,0,1,no_crisis,9248136,3,,42.42,9.248136
2,AGO,Angola,1984,0,2.99E-08,0,0,0,58.63399615,1,0,1,no_crisis,9571821,6,,43,9.571821
2,AGO,Angola,1985,0,2.99E-08,0,0,0,57.22748219,1,0,1,no_crisis,9961997,7,,44,9.961997
2,AGO,Angola,1986,0,2.99E-08,0,0,0,55.82096824,1,0,1,no_crisis,10322621,1,,45,10.322621
2,AGO,Angola,1987,0,2.99E-08,0,0,0,54.41445428,1,0,1,no_crisis,10696300,8,,47,10.6963
2,AGO,Angola,1988,0,2.99E-08,0,0,0,53.00794032,1,0,1,no_crisis,11083506,6,,47.8,11.083506
2,AGO,Angola,1989,0,2.99E-08,0,0,0,51.60142636,1,0,1,no_crisis,11484729,9,,50,11.484729
2,AGO,Angola,1990,0,2.99E-08,0,0,0,50.1949124,1,0,1,no_crisis,11848386,3,,52,11.848386
2,AGO,Angola,1991,0,0.00000018,0,1,0,85.265,1,1,1,no_crisis,12266634,3,,52.59,12.266634
2,AGO,Angola,1992,0,0.00000055,1,1,0,299.097,1,1,1,crisis,12699646,8,,53.96,12.699646
2,AGO,Angola,1993,0,0.0000065,1,1,0,1379.476,1,1,1,crisis,13147944,7,,55.34,13.147944
2,AGO,Angola,1994,0,0.000509262,1,1,0,949.771,1,1,1,crisis,13612066,3,,56.71,13.612066
2,AGO,Angola,1995,0,0.005692,1,1,0,2672.23,1,2,1,crisis,13945206,1,,58.09,13.945206
2,AGO,Angola,1996,0,0.201994,1,1,0,4146.01,1,1,1,crisis,14406792,2,,59.46,14.406792
2,AGO,Angola,1997,0,0.262376,1,1,0,221.492,1,1,1,crisis,14883657,3,,60.84,14.883657
2,AGO,Angola,1998,0,0.6965,1,1,0,107.429,1,1,1,crisis,15376306,5,,62.21,15.376306
2,AGO,Angola,1999,0,5.57992,1,1,0,248.248,1,2,1,no_crisis,15885262,3,,63.58,15.885262
2,AGO,Angola,2000,0,16.81784,1,1,0,325.029,1,1,1,no_crisis,16395473,7,9.13,64.96,16.395473
2,AGO,Angola,2001,0,31.94936,1,1,0,152.586,1,1,1,no_crisis,16934884,1,8.9,67.4,16.934884
2,AGO,Angola,2002,0,58.66637,1,1,0,108.893,1,1,1,no_crisis,17492042,4,12.5,67.54,17.492042
2,AGO,Angola,2003,0,79.08149,0,1,0,98.342,1,1,1,no_crisis,18067530,6,14.19,67.38,18.06753
2,AGO,Angola,2004,0,85.98779,0,0,0,43.559,1,1,1,no_crisis,18661952,1,19.64,67.21,18.661952
2,AGO,Angola,2005,0,80.77951,0,0,0,22.961,1,1,1,no_crisis,19433602,6,28.23,67.05,19.433602
2,AGO,Angola,2006,0,80.26442,0,0,0,13.305,1,0,0,no_crisis,20106005,2,41.79,66.89,20.106005
2,AGO,Angola,2007,0,75.023,0,0,0,12.249,1,0,0,no_crisis,20801672,4,60.45,66.72,20.801672
2,AGO,Angola,2008,0,75.169,0,0,0,12.465,1,0,0,no_crisis,21521410,7,84.18,66.7,21.52141
2,AGO,Angola,2009,0,89.398,0,0,0,13.721,1,1,0,no_crisis,22266051,2,75.49,66.5,22.266051
2,AGO,Angola,2010,0,92.643,0,0,0,14.48,1,0,0,no_crisis,23356246,6,82.53,66.1,23.356246
